;;;;;;;;;;;;
;Temperature (°C);Pressure (Bar);H2 Feeding (Kg);C17H34;C17H36;C18H38;Q reactor (KJ);Yield (%);Selectivity (%);Steam 30 Bar superheted (Kg);Cooling Water 30°C (Kg);Total Utility Cost (USD)
Case 1;300;80;300;7871,063823;75,03490969;142,0108623;-680233,8638;80,8811%;77,7703%;0;16273,53741;3,255
Case 2;300;80;350;7866,682154;76,12842939;145,5319258;-576700,4013;80,8834%;77,7725%;0;13796,66032;2,759
Case 3;300;80;400;7863,431037;76,93439125;148,1486449;-473036,3188;80,8851%;77,7742%;0;11316,65835;2,263
Case 4;300;90;300;7858,197096;78,22180394;152,3710984;-707748,6777;80,8879%;77,7768%;0;16931,78655;3,386
Case 5;300;90;350;7853,51317;79,36407668;156,1596516;-605965,8048;80,8904%;77,7792%;0;14496,78959;2,899
Case 6;300;90;400;7850,042499;80,20526471;158,9761945;-504117,5021;80,8922%;77,7810%;0;12060,22732;2,412
Case 7;300;100;300;7855,679369;78,83640343;154,4046544;-712877,6948;80,8892%;77,7781%;0;17054,49031;3,411
Case 8;300;100;350;7850,938685;79,98858648;158,2476226;-611401,6822;80,8917%;77,7805%;0;14626,8345;2,925
Case 9;300;100;400;7847,421838;80,83687471;161,102666;-509856,0656;80,8936%;77,7823%;0;12197,51353;2,440
Case 10;330;80;300;7849,123511;79,19831893;161,0690462;349445,5661;80,8939%;77,7826%;166,4026505;0;6,656
Case 11;330;80;350;7843,856967;80,44062044;165,375453;483088,0964;80,8967%;77,7853%;230,0419507;0;9,202
Case 12;330;80;400;7839,950981;81,35522741;168,5770984;617222,0303;80,8988%;77,7873%;293,9152525;0;11,757
Case 13;330;90;300;7837,320041;81,96709351;170,7336831;314023,9115;80,9002%;77,7887%;149,5351959;0;5,981
Case 14;330;90;350;7831,655045;83,27797141;175,3932881;444233,8574;80,9033%;77,7916%;211,5399321;0;8,462
Case 15;330;90;400;7827,454808;84,24250262;178,8571829;574930,8074;80,9055%;77,7938%;273,7765749;0;10,951
Case 16;330;100;300;7835,724043;82,33739535;172,0523088;308189,3346;80,9011%;77,7896%;146,756826;0;5,870
Case 17;330;100;350;7829,976062;83,66406573;176,7758867;437819,9389;80,9042%;77,7925%;208,4856852;0;8,339
Case 18;330;100;400;7825,713435;84,64044494;180,2930409;567921,8926;80,9065%;77,7947%;270,4389965;0;10,818
